filter_name;noise_type;noise_intensity;filter_value;med_chest_ct.jpg;med_chest_xray.jpg;med_hand_xray.jpg;med_head_mr.jpg;med_thorax_ct.jpg;sat_mixed_close_1.jpg;sat_mixed_close_2.jpg;sat_mixed_close_3.jpg;sat_nature_farther_1.jpg;sat_nature_farther_2.jpg;sat_nature_farther_3.jpg;sat_urban_farther_normal_1.jpg;sat_urban_farther_normal_2.jpg;sat_urban_farther_normal_3.jpg
ca_median;salt_pepper;0_05;9;0,7007;0,9211;0,9631;0,8641;0,6577;0,7275;0,6237;0,5937;0,6768;0,6329;0,6759;0,5782;0,586;0,5517
ca_median;salt_pepper;0_05;10;0,6943;0,9183;0,9619;0,8582;0,6514;0,7196;0,6144;0,5838;0,6668;0,6228;0,6684;0,5702;0,574;0,5385
ca_median;salt_pepper;0_25;1;0,4438;0,7959;0,8481;0,8506;0,4793;0,7371;0,6724;0,6926;0,727;0,6845;0,6945;0,6096;0,6929;0,68
ca_median;salt_pepper;0_25;2;0,6089;0,925;0,965;0,9207;0,6165;0,8365;0,7621;0,7506;0,7999;0,7753;0,7845;0,7109;0,7539;0,7406
ca_median;salt_pepper;0_25;3;0,6476;0,9283;0,9676;0,9098;0,6329;0,8049;0,7195;0,7014;0,7651;0,7342;0,7531;0,6658;0,7061;0,6862
ca_median;salt_pepper;0_25;4;0,6583;0,9268;0,9668;0,8995;0,6364;0,7914;0,7014;0,6762;0,7478;0,7131;0,7353;0,6472;0,6808;0,6589
ca_median;salt_pepper;0_25;5;0,6556;0,9235;0,9653;0,8886;0,6294;0,771;0,677;0,6494;0,7264;0,6891;0,7167;0,6251;0,6513;0,626
ca_median;salt_pepper;0_25;6;0,6514;0,9204;0,9639;0,8792;0,6237;0,7585;0,6617;0,6311;0,7114;0,6719;0,7036;0,6105;0,6309;0,6037
ca_median;salt_pepper;0_25;7;0,6455;0,917;0,9624;0,8702;0,6165;0,7439;0,6447;0,6135;0,6958;0,6554;0,691;0,596;0,6105;0,5809
ca_median;salt_pepper;0_25;8;0,6402;0,9141;0,9611;0,8624;0,6105;0,7339;0,6327;0,6004;0,6838;0,6424;0,6812;0,5854;0,5951;0,564
ca_median;salt_pepper;0_25;9;0,6341;0,9111;0,9598;0,855;0,6043;0,7229;0,6203;0,5876;0,6714;0,6301;0,672;0,5751;0,5799;0,547
ca_median;salt_pepper;0_25;10;0,6292;0,9085;0,9586;0,8481;0,5991;0,7149;0,6108;0,5777;0,6615;0,6201;0,6646;0,5672;0,5679;0,5337
ca_median;gaussian;0_5;1;0,2985;0,2269;0,2582;0,4034;0,3172;0,3851;0,398;0,4321;0,4464;0,3488;0,3315;0,3502;0,4607;0,4657
ca_median;gaussian;0_5;2;0,3456;0,404;0,4295;0,5246;0,3769;0,5188;0,5216;0,5294;0,5732;0,492;0,4825;0,4846;0,5636;0,5616
ca_median;gaussian;0_5;3;0,354;0,5207;0,5341;0,5856;0,3827;0,5653;0,5427;0,5411;0,5999;0,5295;0,5354;0,503;0,5682;0,5552
ca_median;gaussian;0_5;4;0,3569;0,595;0,5965;0,6223;0,386;0,6013;0,5647;0,551;0,6174;0,5579;0,5698;0,526;0,5733;0,5562
ca_median;gaussian;0_5;5;0,3534;0,6448;0,6361;0,6447;0,3809;0,6152;0,5656;0,5466;0,6163;0,5644;0,5837;0,5274;0,563;0,5411
